ruwana wichqay	cerrar sesión		2_76365
llikanakunaman telefono yaykuq	Acceso telefónico a redes		826_161762
DUN	Acceso telefónico a redes		826_161763
qatunapa llamkanana	herramienta profesional		828_178555
iskaychasqa, kayman	binario		832_21220
ñawpaqchasqa hina	de manera predeterminada		852_25675
Rimasqa	comentario		857_252132
qapariynin tawqa nisqamanta	relleno de altavoces		866_312761
Kichana qhaway yanapakuy	Servicio de administración de claves		869_557910
tarichimuynin IP	dirección IP		892_2455
tupaqmasi huñu	grupo de contactos		910_748601
Microsoft Office InterConnect	Microsoft Office InterConnect		917_264897
ñitipay	compresión		922_37103
riqsinapaq	logotipo		934_76743
Huñusqa k'utmu	gráfico de barras apiladas		938_584283
coprocesador	coprocesador		940_39810
huñuy	compilar		952_36555
takya	compilar		952_318124
sullk'a umachaynin	subtítulo		957_117447
umachaq seqe	fila de encabezado		963_232834
hatunyachiy	expandir		965_317875
mirachiy hapichisqa hina churana	Archivo como copia impresa		989_210451
ñupuna imayna churasqa	distribución del teclado		993_72941
qallariypa ñannin	unidad de arranque		995_22984
PPPoE	PPPoE		1000_93391
Qallariymanta tukunankama Ethernetpi imayna ruwanan	Protocolo punto a punto en Ethernet		1000_93390
pantay reqsenapaq	código de error		1006_318140
imayna llakana	sistema operativo		1014_87933
clic ruway	hacer clic		1018_32207
2-D	2D		1029_320452
iskaytupu	bidimensional		1029_124235
hapirina qelqa	texto alternativo		1045_137287
llinpisqa monitor	monitor en color		1061_34580
paqarinapa sayaynin	tamaño de fuente		1070_55369
waqaychana qillqakuna	Lista de carpetas		1071_142219
CAPS LOCK	Bloq Mayús		1082_27628
Bloq Mayús ñitina	tecla Bloq Mayús		1082_27629
Yachamanta willakuy	historial de exploración		1097_347909
patachaq huñu	grupo de controles		1102_139536
kikinchay	personalización		1111_263076
API	API		1124_49642
ñitiy	comprimir		1134_36967
achka factor chiqaqchaypaq	autenticación multifactor		1154_2021508
MFA	MFA		1154_2471134
Ruwayninpa Willaynin	nota de aplicación		1171_13558
kikinchasqa kantukuna	márgenes simétricos		1181_144723
chinkachisqa willaykuna	datos perdidos		1183_346957
uyakuymanta rimanakuy	acuerdo de confidencialidad		1205_85315
uyakuymanta rimanakuy	acuerdo de confidencialidad		1205_397999
rikuriq qawana tuqu	ventana emergente		1217_3131
ninasqa t'inkiy	vínculo relativo		1223_147636
SVCD	SVCD		1227_318348
allinsu qawanapaq CD	Super Video CD		1227_318321
ruwanayuq tuyru	señal de línea ocupada		1239_25547
qutu	conjunto		1250_1162493
surikuna huñusqa	conjunto con nombre		1250_530462
yupaypa ch'ikun	símbolo de número		1267_40948
hatch	sombreado		1267_314102
bounding p'uktaki	cuadro de límite		1280_137996
unu hina puririsqan	diagrama de flujo		1286_584250
yupay	dígito		1290_45650
rawkanasqa rikchaynin	imagen digital		1294_346944
rikchaynin	imagen		1294_370920
rikchaynin	imagen		1294_64520
Imayna NTFS churanakuna llankasqan	sistema de archivos NTFS		1297_85711
NTFS	NTFS		1297_85710
lloqsinapaq qarana	bandeja de salida		1306_88948
pañaman siqichasqa	alineado a la derecha		1307_319132
kasqanmanta paway	salto de sección		1308_232849
pulgadapi ch'usukuna	puntos por pulgada		1332_47882
dpi	ppp		1332_47883
pakasqa wahana	marcador clandestino		1337_297179
kachariy	licencia		1340_74525
intiwatana puriq tukuyrikuknin	administrador de sincronización		1354_118317
PivotTable qaway	vista Tabla dinámica		1362_360135
killqaq telefono nisqamanta	teléfono de texto		1366_121097
mana uyarikuqkuna waqanankupaq	teléfono para personas con discapacidades auditivas		1366_319172
TDD	TDD		1366_319173
Microsoft manta qillqasqaq telefunum	teléfono de texto de Microsoft		1366_319174
tawqay	Apilado		1374_210475
TCP/IP	TCP/IP		1379_120227
Haywana patachaq imaynakanan/Internet imayna kanan	Protocolo de control de transmisión/Protocolo de Internet		1379_120228
rawkanaq	escáner		1396_107623
tinkuchiq punku	puerta de enlace		1399_57949
chiku chikuman llika	red punto a punto		1411_211539
llankanapaq huñunasqa	grupo de trabajo		1411_134356
ñup'uriynin	digitalización		1415_64659
sistemaq ch'ikunpa wintanan	ventana del símbolo del sistema		1418_35626
llikapa tarikusqan	ubicación de red		1421_145137
willakuykuna waqaychana	base de datos		1444_43230
Kamachikuna	directorio		1446_46257
Ruwanakuna allichaq	Programador de tareas		1469_307402
Windows API	API de Windows		1477_149955
Kikin kutichimusqa	Autorrecuperación		1481_2409385
Kikin kutichimuy	Autorrecuperación		1481_2409112
Kikillan kutirichiq	Autorrecuperación		1481_211365
ruwaq	activo		1500_7883
ima niy	argumento		1505_14420
confiarinalla	confiabilidad		1509_101960
sananpa	carácter		1542_30264
qasiyachiy	inmovilizar		1554_321131
tatichiy	detener		1565_116540
suchuririyninpa tawak'uchun	cuadro de desplazamiento		1593_108356
kikin	original		1622_234771
huchuy rimay wiñay munaq	lenguaje de marcado con derechos extensible		1633_262440
XrML	XrML		1633_262439
qunakuna libro	libro compartido		1639_148511
Aeropaq yanapaq	Asistente para Aero		1654_234919
kapuqninkuna rapiy	página de propiedades		1668_147156
XML niraq ruwana	esquema XML		1679_257436
pisi t'inkiypa yaykunan	matriz rala		1682_114990
hatun qillqa raki	párrafo		1686_90627
siqi	línea		1688_74871
tawa kuchupi siqikuna	línea de cuadrícula		1703_142906
script	script		1706_3257
hukuchaq ñupuynin	clic del mouse		1707_81769
llikakuna patachaq	adaptador de red		1716_84183
kutijana yuyay	criterios de comparación		1730_36286
kuchuy	cortar		1735_41913
imayna chaninchana	fórmula de validación		1739_149687
wanllapa willarina	datos de resumen		1740_231978
video rimamusqan	videoconferencia		1741_128742
hatun willakuy	leyenda		1744_27670
Mediacion Qarakuq	servidor de mediación		1758_517980
Imayna willakuykuna	tipo de datos		1761_43179
ñawinchanalla yuyayninpa k'uku discun	disco compacto de memoria de solo lectura		1762_29205
CD-ROM	CD-ROM		1762_29204
willaypa qawaynin	visualización de datos		1782_2626823
qipanchay	posponer		1789_114199
qunakuy	compartir		1801_111907
Kutirichiy	respondedor		1802_293191
hatun tupanachinapa sikin	base de hipervínculos		1819_143381
willaykuna kasqan	punto de datos		1825_314089
churana	almacenamiento		1826_116591
Outlook Web App	Outlook Web App		1833_1165894
tikrasqa ima niraq	versión localizada		1835_144218
Imayna chaninchana	regla de validación		1839_127118
kamachinapa qhawariqnin	controlador de dominio		1848_47632
DC	controlador de dominio		1848_310978
Word riqsichiynin	publicación de Word		1850_232861
kawsarichiy	activación		1855_307383
yupaykunata ñawpaqman thaskichiq	factorial		1856_52994
interfaz	interfaz		1881_68580
kuska llamkay	interoperabilidad		1885_69963
Qawapayaykuna	Diagnósticos		1894_234827
Windows qawapayaykuna	Diagnósticos de Windows		1894_237891
chawpi jawapi	fuera del eje		1895_186189
churay	instalar		1898_67709
allin hapichiq	marcador de posición		1901_92735
huntasqa pantalla	pantalla completa		1902_57264
wañuchiy	deshabilitar		1914_46388
Willakuykuna qawapayaq	Inspector de documento		1918_183941
muyuq	disco		1919_46463
muyuq	disco		1930_46651
ruwachiy	aplicar		1941_343631
winaynin patachaq	control de contenido		1943_494725
chutaypis hinaspa churaypis	arrastrar y colocar		1944_321903
qelqana seqe	línea de firma		1958_184137
kichana	palabra clave		1975_73133
chimpuy	marcar		1978_45320
unancha	icono		1979_63495
sapakama muyuq	unidad de disco		1989_48436
maskanaq moturnin	motor de búsqueda		1992_108620
tupaqmasip listan	lista de contactos		1999_184612
ñupuna-taqiq huch'uyachisqa metudum	método abreviado de teclado		2000_72983
willakuy qillqa	mensaje de advertencia		2006_131248
tinkuq llapanmanta	vínculo absoluto		2023_136809
tapuq sanampa rikuchiq	puntero con interrogante		2038_147368
Imataq Kay tuqpina	puntero Qué es esto		2038_2790094
huklla llamkay qallariy	inicio de sesión único		2050_113259
SSO	SSO		2050_214897
ID runaq qayana	identificador de llamada		2062_334551
runaq qayanata riqsinapaq	identificación de llamada		2062_2793271
huch'uy ch'antikuy	instalación mínima		2065_80862
inti watana wicharinan	escala de tiempo		2077_149214
tikray	cambiar		2081_30138
chayna ruwana	esquema		2086_107717
imakuna	elemento		2091_50057
XML kaynin	atributo XML		2103_234511
Cablepi hina kikillampaq	Privacidad equivalente por cable		2104_269344
WEP	WEP		2104_269345
juk qhawana	vista de borrador		2105_545690
qhawayay rikch'arisqanma shikun	símbolo de marca comercial		2113_319159
búfer	búfer		2121_375
urquy	desinstalar		2132_125577
qillqasqa umanpa kuqmun	barra de título		2137_121935
sananpa ñawpa hukllawasqa	carácter precompuesto		2138_165180
hatun qelqakuna 	mayúsculas		2194_126360
huchuy raphi-willarikuq	boletín		2215_295551
webpa wayt'aypi rimarina	discusión incorporada		2216_143575
yaykurinalla	accesibilidad		2246_7442
a11y	a11y		2246_2573055
Llank'anmi Windows Live nisqawan	Con tecnología Windows Live		2250_527637
tukuyrikuqninpa hukllawasqan	sistema de administración		2252_163637
tukuyrikuqninpa consola nisqa	consola de administración		2252_163636
seqe suni takyachiq	eje de filas compactas		2257_183896
Yanapakuq Imprimiypaq Intiwatana	Asistente de impresión de calendarios		2260_2421477
intiwatana	calendario		2279_294450
kikin jukwan t'inkiy	autocombinación		2285_109836
imallanpas	recurso		2290_103825
aqllanapaq seqekuna	barra de menús		2293_79701
yuyarinapaq	recordatorio		2299_232415
qollqe puchuq	saldo de cuenta		2301_314116
Word XML Kamachiynin	Formato XML de Word		2306_210486
sananpa kamaynin	formato de caracteres		2316_138366
tinkunay, arwiy	enlazar		2328_21412
miraciqpa sutin	títulos de impresión		2333_146857
siqipa pampan	área del gráfico		2342_138389
BIOS	BIOS		2344_21520
imayna haykuna lloqsina (KAUSAY)	sistema básico de entrada y salida		2344_21521
llika kamachiq	administrador de red		2355_84240
ima kasqankuna	propiedad		2363_95503
paypa yupacha	cálculo personalizado		2382_231960
qutup sutin	nombre de rango		2388_415516
qasa	bisel		2397_137813
PC	PC		2400_91272
sapakamapaq computadora	equipo		2400_91273
kallpa waqaychaqpa sayaynin	nivel de la batería		2405_2020064
kallpa waqaychaq huntachiy	carga de la batería		2405_236972
imayna llankanapaq ruway	diseño		2407_73729
Tukupuq pacha	fecha de expiración		2420_308318
llinpikuna taqruy	combinación de colores		2425_34681
tapachakusqa tabla	tabla anidada		2443_145092
FAQ	P+F		2446_1253
rantikuy	importar		2467_65001
suti	nombre		2472_83022
Aswan Llimp’inanpaq	contraste alto		2486_143220
muyuq	disquete		2490_1470
ruyru	disco		2490_339962
Qapaqman tinkusqakuna	nodo primario		2502_179897
rimay chaskina	buzón de voz		2537_387515
imaymana akllaynin	selección múltiple		2542_82590
imayna waqaq	tono de marcado		2547_45334
aparikunalla	portátil		2551_77614
waqaychanapaq rakiy	asignación de almacenamiento		2564_1593445
kuskallan	paridad		2574_90847
llantu	sombra paralela		2580_141226
Fotografia churana Windows	Galería fotográfica de Windows		2584_235070
suni guiyun	guión largo		2587_988
qillqachiy	registrar		2596_335540
Itanium	Itanium		2599_211415
sananpakunapa pukllanan	juego de caracteres		2608_30533
sayanpa suchunapaq siqi	barra de desplazamiento vertical		2620_128366
yupaq raphi	hoja de cálculo		2627_323153
tantiyana rapinmanta programa	programa de hoja de cálculo		2627_115706
ruwaqpa kaynin	perfil de usuario		2631_126494
qallu-tikraq	artista		2644_14856
churaynin	instalación		2649_67737
paqarina allin qawasqa	vista previa de fuentes		2664_321132
Qatiypa Hapiq wachukunan	Columnas de seguimiento		2668_237838
bps	bps		2669_153112
sapa segundo bits	bits por segundo		2669_153111
Kutichiq ñupuna	tecla Retroceso		2690_19121
3D	3D		2709_494869
3-D	3D		2709_320453
sayampa seqe	eje vertical		2710_674569
I/O	E/S		2711_63130
haykunan/lluksinan	entrada/salida		2711_63131
rurakamuynin	representación		2720_102645
Imakuna ustuchiy	vinculación e incrustación de objetos		2743_86340
OLE	OLE		2743_86341
qipisqa willakuykunawan	gráfico conectado		2747_37894
USB purichiq	unidad USB		2749_1689614
sapakama flash USB	unidad flash USB		2749_269342
kamachinan	dominio		2752_47550
cookie	cookie		2755_550
siqi tukuq	ajuste de línea		2762_316260
qillqa allichay	ajuste de texto		2762_316261
siqipa kikillanmanta allichakuq	ajuste automático de línea		2762_134154
software nisqaq qawapayaqnin	software de supervisión		2763_297184
chisu	punto		2767_226560
akllanapaq kaq	catálogo		2771_28634
haykunata apachimuq	proveedor de acceso		2782_2370
haywaqkuna apachimuq	proveedor de servicios		2782_2371
ISP	ISP		2782_2369
IAP	IAP		2782_308818
Internet haywaqkuyta apachimuq	proveedor de acceso a Internet		2782_2368
Internet haykunata apachimuq	proveedor de acceso a Internet		2782_308270
kuru	gusano		2796_3846
Llamk’apYupaynin ñiqi	Cuadro de tareas		2803_232424
s	Certificado de autenticidad (Certificate of Authenticity)		2809_29638
COA	COA		2809_29639
firewall 	firewall		2815_1421
qallariypi qawana	índice		2824_65752
 Yanqa sutikuna harqanapaq llankay	programa de interceptación de contraseñas		2846_297003
Seqekuna yupin	código de barras		2865_19878
AA	suavizado de contorno		2874_12685
muyun llampuchay	suavizado de contorno		2874_12683
muyukamuy cudigu	código de campaña		2879_237829
Suni Kampu Willakuypa Qarakuqnin	Wide Area Information Server		2886_135773
qatipanapaq wasi	casilla		2889_30927
mouse	mouse		2890_81730
llamkana	herramienta		2904_4788
CD-R	CD-R		2905_136564
CD hapichina	disco compacto grabable		2905_136563
tinkunay	conectividad		2908_38136
huñunasqaq kamachina	Directiva de grupo		2923_59620
ima kaynin	género		2930_58202
tawak'uchu jap’ichisqa	celda activa		2939_7912
kunan tawak’uchuyniyuq	celda actual		2939_7913
suchuqpa wachin	flecha de desplazamiento		2940_179727
suchuq wachinpa ñupunan	botón de flecha de desplazamiento		2940_179726
DVD qawana aswan allichasqa	película de DVD mejorada		2952_318316
Allin qawanapaq	Sepia		2961_234789
imayna qawana kasqan	dispositivo de imagen		2977_64681
llalliy	aprovechar		2983_346592
Mi PC 	Mi PC		2988_179616
churasqa ruwaykuna	registro		2991_2761
kuqmupa llamkanakunan tuytusqa	barra de herramientas flotante		2993_162820
qhawa t'uqsi	texto de información sobre controles		2998_139558
sapakama rimanakuyninmanta allin yachay	Tecnología de comunicaciones privadas		3037_91513
PCT	PCT		3037_91512
mana sutiyuq	anónimo		3038_323647
qillqachakuy tikray	registro de cambios		3044_96983
host	host		3056_1770
tinkisqa	en línea		3060_87569
willay qhawapallanamanta	marca de revisión		3061_147916
willakuy yupichay	marca de mensaje		3068_79974
chayanan	destino		3069_44932
churana	buzón		3084_77397
Pocket PC	Pocket PC		3087_178259
kuskay	justificación		3099_72029
harkasqa	seguridad		3117_109079
ñit'ina ruwasqa dialable ñisqamanta	formato de marcado		3127_140864
corchetes angulares	corchetes angulares		3131_12131
tinkuchinapa kanan	base de acoplamiento		3151_47399
tiyana	base		3151_2144328
parlana	tema		3158_122297
Chuya haykunahuñunasqa	grupo de accesos directos		3169_232421
qatipana	plantilla		3186_120495
Kikillanmanta Willakamuq	mensaje instantáneo		3193_397230
chaylla willakuy	mensaje instantáneo		3193_184810
Office Siqipi Ayninakuy Llamk'aynin	Servicio compartido de Office Online		3202_210462
yachanapaq seqe	barra de fórmulas		3206_231966
churay	grabar		3210_209983
chawpi CA	CA intermedia		3239_1513455
chawpi chiqaqchay kamachiq	entidad de certificación intermedia		3239_68764
ewintu ima kasqankuna	propiedad de evento		3249_141555
Chay kaqlla llankanakunapa kuqmun	barra de herramientas Estándar		3255_148778
akllay tukuchiy	anular la selección		3257_44722
impresora ñisqa kachkan	impresora local		3262_174402
uchuyachiy	disminuir nivel		3264_140570
llapanmanta aswan rikukuq llipi	color de primer plano		3290_142330
chaskiq	destinatario		3300_294443
SD	SD		3305_203182
host yanapakuykuna ruway	hospedar		3317_62295
kipu	archivo		3340_53845
chiqanyachiynin	autenticación		3341_16998
mana imayuq qillqa	texto sin formato		3364_92760
yupana	cifrado		3366_1177
karumanta kamarichiq software-nin	software para control remoto		3367_297187
tapukuykuna kanan	campo de formulario		3371_142397
haykapi ima ura	Fecha y hora		3372_359704
tinkisqa	en línea		3373_87656
pantay rapipi	error de página		3382_5823
pantay	error		3382_1093172
maypi maskana	ámbito de búsqueda		3384_299915
maypi kasqan	ámbito		3384_370257
Kikilllan allichakuq	Autocorrección		3408_17606
Pantallapa kapuyninkuna 	Propiedades de pantalla		3411_236981
Hatun qillqa ñitina	tecla Mayúsculas		3412_112291
Kipupa hatun suti	nombre largo del archivo		3424_211420
panqapa takyasqan	atasco de papel		3431_90590
uyarina tarjeta	tarjeta de sonido		3432_719744
Sapa reqsenapaq qelqakuna	Mapa de caracteres		3441_268847
kipuchay	archivar		3444_14266
kamachinapaq seqechasqa	organigrama		3446_88704
tawak'uchup ñiqin	organigrama		3446_88705
sutupa pampan	área de colocación		3454_231963
NULL nisqa	NULL		3455_257462
hukmanta qawapay	revisión		3477_78381
qatuna willakuykuna waqaychana	base de datos profesional		3480_178518
Payrayku tinkunaq	Connection Manager		3495_160383
tapukunapaq ruwasqa	diseño de consulta		3505_147345
mirachiy	reproducción		3510_318739
Windowspa taqin	imagen de Windows		3512_311270
huñu	grupo		3517_59553
ruwana qunakuy willaymanta	formato de intercambio de datos		3532_45574
Allinlla qatinapaq	plantilla Normal		3537_232842
tukusqakunapa huñusqan	conjunto de resultados		3539_147895
llapampaq IEEE 802.1x	estándar IEEE 802.1X		3556_266838
OneX nisqa	OneX		3556_235074
qillqamanta harkaq	protegido contra escritura		3566_134897
Waqaychasqa Windowspa qatipasqan	Copias de seguridad de Windows		3568_234787
ñawpaq kaq waqaychana	carpeta de nivel superior		3569_1784460
allin pusaq	directorio raíz		3569_105900
sapichaq waqaychana	carpeta raíz		3569_233470
imayna kasqan	nivel		3573_73656
sapa runa akllananpaq	menú personalizado		3575_146183
qapaq CA	CA raíz		3576_1513452
chawpinmanta chutakuq siqisiqi	diagrama radial		3588_147390
Llamkay qallariy	Iniciar sesión		3589_185797
wich'uy	descartar		3590_46490
qawachiy	mostrar		3593_46916
pichana imaynataq	calidad de borrador		3595_48269
pichana	borrador		3595_2354812
wiñarispa rikuchiq	delimitador desplegable		3614_265314
resqsesqaña ñitina	botón predeterminado		3633_44143
chinkachiy	cancelar		3634_27320
panpa	campo		3638_53737
CompleterPC waqaychanapaq miray	Copia de seguridad Complete PC		3643_323598
mana t'aqanaq guiyun	guión de no separación		3655_85228
kapuynin	atributo		3657_16207
Hatunyachiq	Lupa		3662_77222
Kikin-yapay	Autosuma		3690_18204
pañaman	flecha derecha		3692_318113
OCR	OCR		3702_86681
ñawñiqi intiwatana	calendario principal		3706_146703
sutichana	etiqueta		3711_359686
willarikuy sutichanan	etiqueta de nota		3711_359685
rimay	llamada en conferencia		3712_1814226
CTRL	CTRL		3715_39385
CTRL ñupuna	tecla CTRL		3715_39387
patachaq teclan	tecla Control		3715_39383
arruwa	arroba		3732_15888
270 muyuriy	Girar 270°		3734_306403
ima niraq	tono		3735_121895
Business Contact Manager Qallariy Rapi	Página principal de Business Contact Manager		3754_240555
machina kaqpi	cubo local		3756_415639
Kikillanmanta kutichiqkuna	Respuestas automáticas		3765_1172880
Hawa Office Yanapakuymanta	Asistente para fuera de oficina		3765_545677
imayna llankanapaq ruway	diseño		3770_236646
tinkuy	nodo		3771_85150
llamk'asqa raphi k'uchin	formato libro		3773_137976
harkasqapi tapukuy	consulta de parámetros		3789_90732
GAL	LGD		3793_163108
Llapan tarinapaq qelqakuna	Lista global de direcciones		3793_234574
llapan tarinapaq qelqakuna	lista global de direcciones		3793_163109
rakinay	partición		3813_90936
muyuq rakinay	partición de disco		3813_90937
runa sutichasqanpa willakuynin	datos personales		3818_156367
PII	DCP		3818_156368
riqsichisqa willakuy tukuq ruwaqnipaq	información de identificación del usuario final		3818_2870707
qillqanap jallich’akuynin	documento destino		3823_44959
yapasqa llank'anakunaq k'utmun	barra de herramientas acoplada		3838_47370
Maypi paqarina tarina	Detección de fuentes		3844_234764
sasa qillqa	escritura compleja		3866_318126
kacharisqa	libre		3871_232400
qallariy iSCSI	iniciador iSCSI		3873_231624
apaq bus	bus		3888_25223
sapa runa reqsichikun	presentación personalizada		3902_139982
sapa reqsena tipi tipiy	espaciado entre caracteres		3906_30558
chutariy	extensión		3914_335561
mirachiypa listan	lista de reproducción		3932_92898
askha kawsariq llawin	clave de activación múltiple		3953_314135
qapariywan kacharinapaq kichana	clave de licencia por volumen		3953_310989
qapariywan kacharinapaq ruru haykuna	clave de producto de licencia por volumen		3953_311005
sumak rimanakuy	diálogo modal		3962_81228
qawachiy	publicar		3967_93870
ñawpaqchasqa	valor predeterminado		3972_44091
yuyachiy	confirmar		3980_37784
sayayninpa tawak'uchun	controlador de tamaño		3985_113531
pampaman yaykuynin	código de campo		3987_141789
harkaq	delimitador		4005_44392
qawachinapaq suti	nombre para mostrar		4025_315147
waqtanapa wintanan	ventana de la paleta		4028_179946
mana k'askaq k'uchu chikllasqa	selección no adyacente		4030_145162
Microsoft Update	Microsoft Update		4042_464491
Imayna ruwana	protocolo		4050_95643
Alt ñupuna	tecla Alt		4053_11478
bit	bit		4055_21561
dígito binario	dígito binario		4055_21562
Office Peliculamanta chaymanta Literaturamanta Akllariyninkuna	Office of Film and Literature Classification		4070_319446
TB	TB		4071_211565
terabyte	terabyte		4071_120587
tikraq ñitina	tecla modificadora		4090_81456
uraykachiy	descargar		4092_817
chawpi juñukunan	eje de serie		4095_651926
chawpi ukhumanta	eje de profundidad		4095_674544
OLAP	OLAP		4097_87181
kamachikuq	patrón		4103_232523
