Jesucristo aillu quillca, Davidmanda mirai, David Abrahanmanda mirai.	Libro de la genealogía de Jesucristo, hijo de David, hijo de Abraham	b.MAT.1.1
Ashca fariseo nishcauna saduceo nishcaunandi paihuajma shamujta ricusha, Juan paigunara nica: Machacuimanda miraiguna, ¿pi cangunara yachachica shamuj piñarishcamanda miticungaj?	Pero cuando Juan vio que muchos de los fariseos y de los saduceos venían a su bautismo, les decía: "¡Generación de víboras! ¿Quién os enseñó a huir de la ira venidera	b.MAT.3.7
Arrepentirina tonora raichi.	Producid, pues, frutos dignos de arrepentimiento	b.MAT.3.8
Maspas, cunallara hachara churashcami yura sapii	El hacha ya está puesta a la raíz de los árboles	b.MAT.3.10
Chimanda maican yura mana ali muyura aparijpi cuchushca anga, ninai shitashca anga.	Por tanto, todo árbol que no da buen fruto es cortado y echado al fuego	b.MAT.3.10
Shinajpi Galilea partimanda Jesús Jordanma shamuca Juanbajma, pai bautisai tucungaj.	Entonces Jesús vino de Galilea al Jordán, a Juan, para ser bautizado por él	b.MAT.3.13
Jesús paita cutipaca: Saquilla, ministirinmi ñucanchi tucui aliranara pactachingaj	Pero Jesús le respondió:  Permítelo por ahora, porque así nos conviene cumplir toda justicia	b.MAT.3.15
Shinajpi Juan lugarda cuca.	Entonces se lo permitió	b.MAT.3.15
Shu shimi anua pachamanda uyarimuca nisha: Caimi ñuca llaquishca Churi, paihuajpi yapa cushi ani.	Y he aquí, una voz de los cielos decía: "Éste es mi Hijo amado, en quien tengo complacencia.	b.MAT.3.17
Shinajpi Santo Espíritu Jesusta pushaca runa illashca partima, Supai Apu paita tentangaj.	Entonces Jesús fue llevado por el Espíritu al desierto, para ser tentado por el diablo	b.MAT.4.1
Chuscu chunga punzhara, tutandi punzhandi sasishca huasha, mana micusha, Jesús yarcachica.	Y después de haber ayunado cuarenta días y cuarenta noches, tuvo hambre	b.MAT.4.2
Supai paihuajma tentangaj shamusha, paita nica: Can Diospa Churi ashaga, cai rumiunara rimai: Tanda tucui, nisha.	El tentador se acercó y le dijo:  Si eres Hijo de Dios, di que estas piedras se conviertan en pan	b.MAT.4.3
Jesús cutipasha nica: Quillcashcami tian: Mana tandallahua runa causangachu, astaun Dios tucui rimashca shimimandas.	Pero él respondió y dijo:  Escrito está: No sólo de pan vivirá el hombre, sino de toda palabra que sale de la boca de Dios	b.MAT.4.4
Shinajpi Supai Apu paita Dios ajllashca llactama pushaca, templo nishca Diospa huasi ahua pundai paita shayachica.	Entonces el diablo le llevó a la santa ciudad, le puso de pie sobre el pináculo del templo	b.MAT.4.5
Jesús paita cutipaca: Shinallara quillcashcami tian: Señorda camba Diosta ama tentanguichu.	Jesús le dijo:  Además está escrito: No pondrás a prueba al Señor tu Dios	b.MAT.4.7
Cutillara, Supai Apu paita shu yapa ahua urcuma pushaca, chimanda tucui mundu llactaunara ricuchica paiguna sumajndi.	Otra vez el diablo le llevó a un monte muy alto, y le mostró todos los reinos del mundo y su gloria	b.MAT.4.8
Supai paita nica: Cai tucuira canda cushami can tuama urmasha ñucara adorajpi.	Y le dijo:  Todo esto te daré, si postrado me adoras	b.MAT.4.9
Shinajpi Jesús paita nica: Ri, Satanás, quillcashcami tian: Señorda camba Diosta adorana mangui, paulara sirvina mangui.	Entonces Jesús le dijo:  Vete, Satanás, porque escrito está: Al Señor tu Dios adorarás y a él solo servirás	b.MAT.4.10
Jesús Juan chonda cularbi ishcashcara uyasha, Galileama tigraca.	Y cuando Jesús oyó que Juan había sido encarcelado, regresó a Galilea	b.MAT.4.12
Jesús caima shamuca Isaías nishca Diosmanda rimaj rimashcara pactachingaj, casna nisha:	para que se cumpliese lo dicho por medio del profeta Isaías, diciendo	b.MAT.4.14
Zabulón llactas, Neftalí llactas, lamar ñambii, Jordan huashai, gentil nishcauna Galilea partii;	Tierra de Zabulón y tierra de Neftalí, camino del mar, al otro lado del Jordán, Galilea de los gentiles	b.MAT.4.15
Llandu tutai tiarij runauna atun velara ricunauca	El pueblo que moraba en tinieblas vio una gran luz	b.MAT.4.16
Huañuna llandui tiarijgunara vela punzhayachicami.	A los que moraban en región y sombra de muerte, la luz les amaneció	b.MAT.4.16
Jesús, Galilea lamar rayai puriusha, ishquindi uquira ricuca, Pedro nishca Simón aca, paihua uqui Andresndi, licarinauca lamarbi	Mientras andaba junto al mar de Galilea, Jesús vio a dos hermanos: a Simón, que es llamado Pedro, y a su hermano Andrés	b.MAT.4.18
Aichahuara apijguna anauca.	Estaban echando una red en el mar, porque eran pescadores	b.MAT.4.18
Paigunara nica: Ñucara catihuaichi, cangunara runara licajgunara rasha.	Y les dijo: "Venid en pos de mí, y os haré pescadores de hombres.	b.MAT.4.19
Paiguna licaunara dsas saquisha, paita catinauca.	Y de inmediato ellos dejaron sus redes y le siguieron	b.MAT.4.20
Paiguna dsaslla canoara yayaras saquisha, paita catinauca.	y en seguida ellos dejaron la barca y a su padre, y le siguieron	b.MAT.4.22
Jesús tucui Galilea partiunama risha, paiguna tandarina huasiunai yachachisha, Dios mandana pacha ali shimira camachisha, tucui ungüigunaras tucui nanaigunaras alichisha purica.	Jesús recorría toda Galilea enseñando en las sinagogas de ellos, predicando el evangelio del reino y sanando toda enfermedad y toda dolencia en el pueblo	b.MAT.4.23
Ashca runauna paita catimunauca, Galileamandas Decápolis nishca partimandas, Jerusalenmandas, Judeamandas, Jordan yacu chimbamandas.	Le siguieron grandes multitudes de Galilea, de Decápolis, de Jerusalén, de Judea y del otro lado del Jordán	b.MAT.4.25
Jesús chi ashca runaunara ricusha, urcuma sicaca; pai tiarijpi pai yachachishca runauna paihuajma shamunauca.	Cuando vio la multitud, subió al monte; y al sentarse él, se le acercaron sus discípulos	b.MAT.5.1
Jesús rimasha paigunara yachachica nisha:	Y abriendo su boca, les enseñaba diciendo	b.MAT.5.2
Cushiunami huacajguna, paiguna cushi tucunaungami.	"Bienaventurados los que lloran, porque ellos serán consolados	b.MAT.5.4
Cushiunami mansouna, paiguna cai pachara cui tucunaungami.	"Bienaventurados los mansos, porque ellos recibirán la tierra por heredad	b.MAT.5.5
Cushiunami alirangaj yarcachijguna upinaichijguna, sajsachisca anaunga.	"Bienaventurados los que tienen hambre y sed de justicia, porque ellos serán saciados	b.MAT.5.6
Cushiunami llaquij shunguyujguna, paiguna llaquishca tucunaungami.	"Bienaventurados los misericordiosos, porque ellos recibirán misericordia	b.MAT.5.7
Cushiunami chuyaj shunguuna, paiguna Diosta ricunaungami.	"Bienaventurados los de limpio corazón, porque ellos verán a Dios	b.MAT.5.8
Cushiunami macanaujpurara alichijguna, Diospa churiuna nishca anaunga.	"Bienaventurados los que hacen la paz, porque ellos serán llamados hijos de Dios	b.MAT.5.9
Cushiunami aliranamanda tormendachishcauna, paigunajmi ahua pacha mandana.	"Bienaventurados los que son perseguidos por causa de la justicia, porque de ellos es el reino de los cielos	b.MAT.5.10
Cushiunami anguichi imahoras ñucamanda chijnishca tormendachishca asha, ima manaliras cangunamanda llullasha rimanaupi.	"Bienaventurados sois cuando os vituperan y os persiguen, y dicen toda clase de mal contra vosotros por mi causa, mintiendo	b.MAT.5.11
Caguna cai pacha vela cuenta anguichi	"Vosotros sois la luz del mundo	b.MAT.5.14
Shu urcu pundai tiaj llacta mana pacaihuajchu.	Una ciudad asentada sobre un monte no puede ser escondida	b.MAT.5.14
Shinallara shu velara mana sindichinaunzhu tasa ucui churangaj, astaun ahuai churangaj, huasii tiajgunara punzhay achingaj.	Tampoco se enciende una lámpara para ponerla debajo de un cajón, sino sobre el candelero; y así alumbra a todos los que están en la casa	b.MAT.5.15
Shina sindichu canguna vela cuenta runauna ñaupajpi, paiguna can ali rashcaunara ricungaj, ricusha camba ahua pachai tiaj Yayara ahuayachingaj.	Así alumbre vuestra luz delante de los hombres, de modo que vean vuestras buenas obras y glorifiquen a vuestro Padre que está en los cielos	b.MAT.5.16
Ama iyaichichu ñuca shamucani ley nishca camachishca shimira Diosmanda rimajguna rimashcaras chingachingaj	"No penséis que he venido para abrogar la Ley o los Profetas	b.MAT.5.17
Mana chingachingajchu shamucani, astaun pactachingaj.	No he venido para abrogar, sino para cumplir	b.MAT.5.17
Cierto pacha cangunara nini, ahua pachas cai pachas pasaringagama, ley shimimanda mana shu shimihuallas shu pundahuallas pasaringami tucui pactaringagama.	De cierto os digo que hasta que pasen el cielo y la tierra, ni siquiera una jota ni una tilde pasará de la ley hasta que todo haya sido cumplido	b.MAT.5.18
Cangunara nini, canguna alirashcauna mana y ali ajpiga yachaira yachachijguna, fariseoguna alirashcaunamanda, canguna ahua pacha mandanai mana icunguichichu.	Porque os digo que a menos que vuestra justicia sea mayor que la de los escribas y de los fariseos, jamás entraréis en el reino de los cielos	b.MAT.5.20
Uyashcanguichimi imasna nishca aca ñaupa tiempounai: Ama huañuchinguichu, pis huañuchijpi tarípashca anga.	"Habéis oído que fue dicho a los antiguos: No cometerás homicidio; y cualquiera que comete homicidio será culpable en el juicio	b.MAT.5.21
Shina ashas, can can Diosma cuyanara altar nishca sacrificio rana mesama apamusha, chihuis iyariungui imasna camba uqui canda causachiupi imamandas,	"Por tanto, si has traído tu ofrenda al altar y allí te acuerdas de que tu hermano tiene algo contra ti	b.MAT.5.23
Can cushca ofrendara chihui saqui altar ñaupajpi; rí, camba uquihua ñaupara alichingaj, chihuasha shami camba ofrendara cungaj.	deja tu ofrenda allí delante del altar, y ve, reconcíliate primero con tu hermano, y entonces vuelve y ofrece tu ofrenda	b.MAT.5.24
Cierto pacha canda nini, chimanda mana llucshinguichu puchucai mediohuara pagangagama.	De cierto te digo que jamás saldrás de allí hasta que pagues el último cuadrante	b.MAT.5.26
Uyashcanguichi imasna rimashca aca: Ama shujhua tacar inguichu.	"Habéis oído que fue dicho: No cometerás adulterio	b.MAT.5.27
Astaun ñuca cangunara nini: Pi runas shu huarmira ricusha munajpi, ña paihua shungüi ucharashcami paihua.	Pero yo os digo que todo el que mira a una mujer para codiciarla ya adulteró con ella en su corazón	b.MAT.5.28
Shinasha, camba ali ñahui canda uchai urmachisha nijpi, ñahuira llucchisha ichui	Por tanto, si tu ojo derecho te es ocasión de caer, sácalo y échalo de ti	b.MAT.5.29
Astaun alimi camba aichamanda shu partira pirdingaj, camba entero aicha ucu pachai ama shitai tucungaj.	Porque es mejor para ti que se pierda uno de tus miembros, y no que todo tu cuerpo sea echado al infierno	b.MAT.5.29
Camba ali maqui canda uchai urmachisha nijpi, pitisha ichui	Y si tu mano derecha te es ocasión de caer, córtala y échala de ti	b.MAT.5.30
Astaun alimi camba aichamanda shu partira pirdingaj, entero aicha ucu pachai ama shitai tucungaj.	Porque es mejor para ti que se pierda uno de tus miembros, y no que todo tu cuerpo sea echado al infierno	b.MAT.5.30
Shinallara rimashcami aca: Pi runas paihua huarmira ichusha nijpi, maqui llushpichina quillcara cuchu.	"También fue dicho: Cualquiera que despide a su mujer, déle carta de divorcio	b.MAT.5.31
Shinallara uyashcanguichimi imasna ñaupa horas rimashca aca: Diospa shutii rimashcara ama paquinguichu, astaun can Diospa shutü rimashca cushca shimiunara Señorma pactachina angui.	"Además, habéis oído que fue dicho a los antiguos: No jurarás falsamente; sino que cumplirás al Señor tus juramentos	b.MAT.5.33
Astaun ñuca cangunara nini: Ama Diospa shutii rimasha shimira cunguichi, mana ahua pacha shutii, caimi Diospa tiarina,	Pero yo os digo: No juréis en ninguna manera; ni por el cielo, porque es el trono de Dios	b.MAT.5.34
shinallara mana cai pacha shutiis, caimi Diospa aitarina, shinallara mana Jerusalen shutüs, caimi atun Rey Apu llacta.	ni por la tierra, porque es el estrado de sus pies; ni por Jerusalén, porque es la ciudad del Gran Rey	b.MAT.5.35
Shinallara mana camba uma shutüs shimira cuichu, camba aechara mana yanaras mana yurajtas turcanara ushanguichu.	No jurarás ni por tu cabeza, porque no puedes hacer que un cabello sea ni blanco ni negro	b.MAT.5.36
Canguna rimana casna achu: Ari, nisha; Mana, nisha	Pero sea vuestro hablar, 'sí', 'sí', y 'no', 'no'	b.MAT.5.37
Mas ajpiga, manalimanda shamun.	Porque lo que va más allá de esto, procede del mal	b.MAT.5.37
Uyashcanguichimi imasna rimashca aca: Ñahui muyupura, ñahui muyupura; shinallara quirupura quirupura.	"Habéis oído que fue dicho a los antiguos: Ojo por ojo y diente por diente	b.MAT.5.38
Ñucaga cangunara nini: Manali runa canda sajmajpi, ama arcaichichu	Pero yo os digo: No resistáis al malo	b.MAT.5.39
Astaun camba ñahui ali partira sajmajpi, shu partira richuchi sajmangaj.	Más bien, a cualquiera que te golpea en la mejilla derecha, vuélvele también la otra	b.MAT.5.39
Runa camba camisetara mañajpi apu ñaupajpi, shinallara camba camisara cui.	Y al que quiera llevarte a juicio y quitarte la túnica, déjale también el manto	b.MAT.5.40
Pi runas paihua carga canda apangaj mandajpi shu samai tupura, ishqui samaira aparisha ri.	A cualquiera que te obligue a llevar carga por una milla, ve con él dos	b.MAT.5.41
Uyashcanguichimi imasna ñaupa horas rimashca aca: Camba mayanpura causajta llaquingui, canda piñajta chijningui.	"Habéis oído que fue dicho: Amarás a tu prójimo y aborrecerás a tu enemigo	b.MAT.5.43
Ñucaga cangunara nini: Cangunara piñajgunara llaquichi, maldiciajgunara bendiciaichi, cangunara chijnijgunara yanapaichi, cangunara huajlichijgunamanda tormendachijgunamandas mañaichi.	Pero yo os digo: Amad a vuestros enemigos, y orad por los que os persiguen	b.MAT.5.44
Canguna liaquijgunallara llaquijpi, ¿Ima paganarara charinguichiri? ¿Manzhu shinallara ranaun cullquira tandachijgunas?	Porque si amáis a los que os aman, ¿qué recompensa tenéis? ¿No hacen lo mismo también los publicanos	b.MAT.5.46
Canguna uquiunallara salurajpi, ¿ima alira raunguichiri? ¿Manzhu shinallara ranaun gentilguna?	Y si saludáis solamente a vuestros hermanos, ¿qué hacéis de más? ¿No hacen eso mismo los gentiles	b.MAT.5.47
Gusto ali sumaj aichi, imasna canguna ahua pachai tiaj Yaya ali gusto sumaj ashcasna.	Sed, pues, vosotros perfectos, como vuestro Padre que está en los cielos es perfecto	b.MAT.5.48
Cuiraichi canguna ali rashcaunara ama runauna ñaupajpi rangaj, paiguna ricunauchu nisha	"Guardaos de hacer vuestra justicia delante de los hombres, para ser vistos por ellos	b.MAT.6.1
Casna rasha paganara mana charinguichichu camba ahua pachai tiaj Yayamanda.	De lo contrario, no tendréis recompensa de vuestro Padre que está en los cielos	b.MAT.6.1
Canguna limosna nishca cullquira cusha, ama cormetara tucachichu camba ñaupajpi, ishqui shimiyujguna rashca cuenta tandarina huasiunais ñambiunais, runauna paigunara alabangaj	Cuando, pues, hagas obras de misericordia, no hagas tocar trompeta delante de ti, como hacen los hipócritas en las sinagogas y en las calles, para ser honrados por los hombres	b.MAT.6.2
Cierto pacha cangunara nini, paganara ña apinaushcami.	De cierto os digo que ellos ya tienen su recompensa	b.MAT.6.2
Canga limosna nishcara cusha, camba lluqui maqui ali maqui rashcara ama yachachu.	Pero cuando tú hagas obras de misericordia, no sepa tu izquierda lo que hace tu derecha	b.MAT.6.3
Camba limosna pacalla pacalla cushca achu	de modo que tus obras de misericordia sean en secreto	b.MAT.6.4
Camba Yaya, pacallai ricuj, canda pagangami tucui runauna ricushcai.	Y tu Padre que ve en secreto te recompensará	b.MAT.6.4
Casna mañaichi: Ñucanchi ahua pachai tiaj Yaya, camba shuti sumacyachishca achu.	Vosotros, pues, orad así: Padre nuestro que estás en los cielos: Santificado sea tu nombre	b.MAT.6.9
Ñucanchi caran punzha micunara cuhuai cuna punzha.	El pan nuestro de cada día, dánoslo hoy	b.MAT.6.11
Ñucanchi manali rashcaunara perdonahuai, imasna shinallara ñucanchira manalira rajgunara perdonaunchi.	Perdónanos nuestras deudas, como también nosotros perdonamos a nuestros deudores	b.MAT.6.12
Ama tentacionma pushahuaichu ñucanchira, astaun manalimanda quishpichihuai	Y no nos metas en tentación, mas líbranos del mal	b.MAT.6.13
Cambajmi mandana, ushanas, sumajpas, huiñai huiñaigama	Porque tuyo es el reino, el poder y la gloria por todos los siglos	b.MAT.6.13
Amen.	Amén	b.MAT.6.13
Canguna runaunara paiguna manali rashcaunara perdonajpi, shinallarami camba ahua pachai tiaj Yaya cangunara perdonanga.	Porque si perdonáis a los hombres sus ofensas, vuestro Padre celestial también os perdonará a vosotros	b.MAT.6.14
Astaun canguna runaunara paiguna manali rashcaunara mana perdonajpi, shinallarami canguna Yaya canguna rashca manaliunara mana perdonangachu.	Pero si no perdonáis a los hombres, tampoco vuestro Padre os perdonará vuestras ofensas	b.MAT.6.15
Can sasishaga, aceitera talingui umai, ñahuiras maillangui,	Pero tú, cuando ayunes, unge tu cabeza y lávate la cara	b.MAT.6.17
can sasishcara runaunara ama ricuchingaj, astaun camba pacallai tiaj Yayama ricuchingaj	de modo que no muestres a los hombres que ayunas, sino a tu Padre que está en secreto	b.MAT.6.18
Camba pacallai ricuj Yaya tucui runauna ricushcai canda pagangami.	Y tu Padre que ve en secreto te recompensará	b.MAT.6.18
Cai pachai ama charij tucuichi, maibi susu huacarinas ismuchinaun, maibi shuhuajguna uctusha shuhuanaun.	"No acumuléis para vosotros tesoros en la tierra, donde la polilla y el óxido corrompen, y donde los ladrones se meten y roban	b.MAT.6.19
Astaun ahua pachaiga charij tucuichi, maibi susu huacarinas mana ismuchinaun, maibi shuhuajguna mana uctunaun, mana shuhuanaun.	Más bien, acumulad para vosotros tesoros en el cielo, donde ni la polilla ni el óxido corrompen, y donde los ladrones no se meten ni roban	b.MAT.6.20
Maibi canguna valijta charijpi, chillai camba shungu tiaun.	Porque donde esté tu tesoro, allí también estará tu corazón	b.MAT.6.21
Ñahui muyu aicha velami	"La lámpara del cuerpo es el ojo	b.MAT.6.22
Camba ñahui muyu ali ajpi, entero aicha punzhayachishcami anga.	Así que, si tu ojo está sano, todo tu cuerpo estará lleno de luz	b.MAT.6.22
Camba ñahui muyu manali ricuj ajpi camba aicha llandu tutaimi tian	Pero si tu ojo es malo, todo tu cuerpo estará en tinieblas	b.MAT.6.23
Shinajpiga can ucui charíshca vela llandu tuta cuenta ajpi, llandu asha mas llandunmi.	De modo que, si la luz que hay en ti es oscuridad, ¡cuán grande es esa oscuridad	b.MAT.6.23
Pi runas ishqui patronda sirvina mana ushan; shujta chijninga, chishujta llaquingami; shujta ahuayachingami chishujta pishiyachingami	"Nadie puede servir a dos señores; porque aborrecerá al uno y amará al otro, o se dedicará al uno y menospreciará al otro	b.MAT.6.24
Mana ushanguichichu Diostas cullquiras sirvina.	No podéis servir a Dios y a las riquezas	b.MAT.6.24
¿Cangunamanda maicanda ushan masna munaushas shu palmora yapangaj, mas ahua tucungaj?	¿Quién de vosotros podrá, por más que se afane, añadir a su estatura un codo	b.MAT.6.27
cangunara nini, Salomón tucui paihua sumajhua mana caigunasna churarijchu aca.	pero os digo que ni aun Salomón, con toda su gloria, fue vestido como uno de ellos	b.MAT.6.29
Ama turbarichichu, ¿Imara micushun imara upishun, imara churachishun? nisha.	"Por tanto, no os afanéis diciendo: '¿Qué comeremos?' o '¿Qué beberemos?' o '¿Con qué nos cubriremos?	b.MAT.6.31
Gentilguna tucui caigunara mascanaun, astaun canguna ahua pachai tiaj Yaya yachan imasnara cai tucuira ministinguichimi.	Porque los gentiles buscan todas estas cosas, pero vuestro Padre que está en los cielos sabe que tenéis necesidad de todas estas cosas	b.MAT.6.32
Astaun, ñaupa punda Dios mandana pachara pai ali causanaras mascaichi, cai tucuira cangunajta yapashca anga.	Más bien, buscad primeramente el reino de Dios y su justicia, y todas estas cosas os serán añadidas	b.MAT.6.33
