PERÚ SUYU HATUN KAMAY PIRWA	CONSTITUCIÓN POLÍTICA DEL PERÚ
Manan mitma runa kay kanmanchu, hinallataqmi manan pipas saruchasqa llank’ayman churasqa kanmanchu imayna kayninpipas	Están prohibidas la esclavitud, la servidumbre y la trata de seres humanos en cualquiera de sus formas
Manan pipas sankhaywasipi wesq’asqa kanmachu mana kayninmantaqa	No hay prisión por deudas
Kay kamachikuyqa mana chaniyoqmi sichus tayta utaq mama kayninta qonqaspa mana churin uywaq tayta mamapaqqa	Este principio no limita el mandato judicial por incumplimiento de deberes alimentarios
Manan pipas paqtachasqa kanmanchu nitaq hayratasqa kanmanchu ima ruwasqanmantapas, manaraq kay ruwqasqan mana ruwana hina qelqa kamachipi churasqa kashiantinqa	Nadie será procesado ni condenado por acto u omisión que al tiempo de cometerse no esté previamente calificado en la ley, de manera expresa e inequívoca, como infracción punible; ni sancionado con pena no prevista en la ley
Paqtachakuq Kamayoq huchata taripakuyninkamaqa lliupas llup’an kanchis	Toda persona es considerada inocente mientras no se haya declarado judicialmente su responsabilidad
Manan pipas qespisqa kausayninpas tatichikunmanchu mana Paqtachakuy Kamayoqpa siminmantaqa utaq t’uyriq Kamayoq siminmantaqa, ichaqa hap’isqa kanamanmi sichus huchallikushiaqtin tarisqa Kankan cheyqa	Nadie puede ser detenido sino por mandamiento escrito y motivado del juez o por las autoridades policiales en caso de flagrante delito
Chay hap’isqaqa hoq tuta hoq p’unchay ukhupi paqtachakuy kamayoqpa qayllanman pusasqa kanan. Karumanta hamuqkunatataq puriypa hunt’akunan ukhullapi, Paqtay Kamayoqpa qayllanman pusakunan	El detenido debe ser puesto a disposición del juzgado correspondiente, dentro de las veinticuatro horas o en el término de la distancia
Kay hunt’ana p’unchaykunaqa manan terrorismo, espionaje hinaspa tráfico de drogas nisqamanpas allpanchu	Estos plazos no se aplican a los casos de terrorismo, espionaje y tráfico ilícito de drogas
Chhayna kaqtinqa wallawakunaqa piqpa qespisqa kaynintapas watankumanmi chunka pisqayoq p’unchaykama	En tales casos, las autoridades policiales pueden efectuar la detención preventiva de los presuntos implicados por un término no mayor de quince días naturales
Chaynapiqa hinallamanmi Llaqta Amachaqe wasiman hinaspapas Paqtay Kamayoqmanpas, atispa chay kikin hucha qhawariy qallariyta manaraq chunka pisqayoq p’unchay hunt’akusaqtinpas	Deben dar cuenta al Ministerio Público y al juez, quien puede asumir jurisdicción antes de vencido dicho término
Manan pipas wesq’asqa kaqtin runamansinwan rimaypaq hark’asqa kanmanchu, ichaqa hucha sut’inchakunanpaqq atikunmi, hinaspa paqtaymi chay runawan rimay hark’akuytaqa kamachi kamachiypi kaqtin	Nadie puede ser incomunicado sino en caso indispensable para el esclarecimiento de un delito, y en la forma y por el tiempo previstos por la ley
Ichaqa Paqtachay Kamayoqmi chay wesk’aymantaqa qelqapi willanan, mana qepallichispa chayachispa, maypi hap’isqa kasqanman	La autoridad está obligada bajo responsabilidad a señalar, sin dilación y por escrito, el lugar donde se halla la persona detenida
Manan mayqen runapas q’aqchasqa yuyayninpi utaq kurpunpi ñak’arisqa kanmanchu, hinaspapas manan p’anankumanchu nitaq ullpuchisqa kanmanchu	Nadie debe ser víctima de violencia moral, psíquica o física, ni sometido a tortura o a tratos inhumanos o humillantes
Examen médico nisqata mayqenpas hanpi kamayoqman chay hap’isqa runa qhawananpaq mañakuyta atin. Manan chaninchakunchu pipas chaqmasqa utaq maqasqa rimariykunata kacharin cheyqa	Cualquiera puede pedir de inmediato el examen médico de la persona agraviada o de aquélla imposibilitada de recurrir por sí misma a la autoridad
Sichus pipas chaynata ruwaqtin cheyqa kamachiypa willayninman hina huchaqoq kapunman	Carecen de valor las declaraciones obtenidas por la violencia. Quien la emplea incurre en responsabilidad
Aswan Kamay Pirwapi Allaukakuna	Derechos Constitucionales
3 Phatmi	Artículo 3
Kay Hatun T’aqa paqtay yupayqa manan Hatun Kamay Pirwa kamachiykunataqa qonqanchu, hinaspa sumaq runa kausaynipaq hoq kamachiykunatapas qonqanchu, utaq llaqtaq kamachiyninpas kallantaq, Estado democrático de derecho hinaspa forma Republicana de Gobierno nisqa kayninman hina	La enumeración de los derechos establecidos en este capítulo no excluye los demás que la Constitución garantiza, ni otros de naturaleza análoga o que se fundan en la dignidad del hombre, o en los principios de soberanía del pueblo, del Estado democrático de derecho y de la forma republicana de gobierno
2 Umalli	Capítulo 2
Runa kausay allaukakunamanta hinaspa musikuykunamanta	De los derechos sociales y económicos
Wasi Ayllu allin rikusqa kayninmanta	Protección a la familia. Promoción del matrimonio
4 Phatmi	Artículo 4
Ayllu hinaspa suyun sayapakun aswantaqa erqenkunaman, q’aqokunaman, mamakunaman hinaspa wijch’usqa machukunamanpas	La comunidad y el Estado protegen especialmente al niño, al adolescente, a la madre y al anciano en situación de abandono
Chaymantapas kikin suti ayllupi kausaytan qhawan hinaspa runa sawaymanpas sayapakunmi	También protegen a la familia y promueven el matrimonio
Sawasqakunata reqsispa llaqta kusa kausayninpaq aswan kallpayoq kayninta	Reconocen a estos últimos como institutos naturales y fundamentales de la sociedad
Imayna saway, t’aqanakuy, karunchakuy hinaspa wesq’eypas qelqa kamachiymi qelqasqa	La forma del matrimonio y las causas de separación y de disolución son reguladas por la ley
Warmi qhari mana sawasqa tiyasqankumanta	Concubinato
5 Phatmi	Artículo 5
Lliu mana sawasqa warmi qhariq pasaq tiyaykuyninta, ichaqa mana ima saway hark’ayniyuqqa, qelqa kamachi kusqanman hina ima kayninkupas, kuska kayniyuqmi kanku, imayna kasqanman hinaspa kaki kanchayoqmi kanku	La unión estable de un varón y una mujer, libres de impedimento matrimonial, que forman un hogar de hecho, da lugar a una comunidad de bienes sujeta al régimen de la sociedad de gananciales en cuanto sea aplicable
nisqa	Política
Mama taytakunaq kikin yachaypiruwayni	Paternidad y maternidad responsables
Llapan churikuna kikin k’apaqpi rukusqa	Igualdad de los hijos
6 Phatmi	Artículo 6
Suyuntinpi kamayoqkunaq qhawaspa ruwayninmi yanapay allin cheqaq yuyaywan mama tayta kanapaq	La política nacional de población tiene como objetivo difundir y promover la paternidad y maternidad responsables
Hinaspa reqsinmi kikin aylluq allaukanta hinaspa kausaynintapas	Reconoce el derecho de las familias y de las personas a decidir
Hinapin suyuqa waqaychan yachaykunata hinaspa llapan yachaykunaman haykunankupaqpas, ichaqa mana kausayninku hinaspa qhali kayninku sarunchasqa kanapaq	En tal sentido, el Estado asegura los programas de educación y la información adecuada y el acceso a los medios, que no afecten la vida o la salud
Lliu mamataytamamapas churiyasqankutaqa, allintan mikhuchinankupas, p’achachinankupas, yachay wasiman yachaq kachanankupas, allin Kausay apachinankupas	Es deber y derecho de los padres alimentar, educar y dar seguridad a sus hijos
Chhaynallataqmi lliu wawa churinkupas mama taytataqa allinta qhawarinanku	Los hijos tienen el deber de respetar y asistir a sus padres
Lliu wawachurikunapas kasqan chaniyoqmi tayta mamankuq ñaupanpiqa kanku	Todos los hijos tienen iguales derechos y deberes
Amatasqan, ima kikinchay ima qelqapipas tayta mamaq sawasqa mana sawasqa kaninta, hinallataq churi wawankunaq mit’asanan churaytapas	Está prohibida toda mención sobre el estado civil de los padres y sobre la naturaleza de la filiación en los registros civiles y en cualquier otro documento de identidad
Lliu wawachurikunapas kasqan chaniyoqmi tayta mamankuq ñaupanpiqa kanku	Todos los hijos tienen iguales derechos y deberes
Amatasqan, ima kikinchay ima qelqapipas tayta mamaq sawasqa mana sawasqa kaninta, hinallataq churi wawankunaq mit’asanan churaytapas	Está prohibida toda mención sobre el estado civil de los padres y sobre la naturaleza de la filiación en los registros civiles y en cualquier otro documento de identidad
7 Phatmi	Artículo 7
Llapanmi allin qhali kayninman allaukayoq kanku, kikin ayllu suyunkupaqpas, allin qhali kayninpaq, hinaspa amacha kausayninmanpas	Todos tienen derecho a la protección de su salud, la del medio familiar y la de la comunidad así como el deber de contribuir a su promoción y defensa
Onqoq kaspa mana pay kikinmanta kausay atipaqqa, runa kasqan rayku allinta qhawarisqa kayman. Kamachiypaq mamachakunmi qhawarinan, hanpichinanpas yapamanta allin llank’aq runa kanapaq	La persona incapacitada para velar por sí misma a causa de una deficiencia física o mental tiene derecho al respeto de su dignidad y a un régimen legal de protección, atención, readaptación y seguridad
Millay mana allin miyukuna qatiqachasqamanta	Represión al Tráfico Ilícito de Drogas
8º Phatmi	Artículo 8
Suyun qhatikachan, hinallataq wanachin, machachikuq, mosqochikuq utaq wak’ayaqchiq, ujyanakunata mikhuykunata	El Estado combate y sanciona el tráfico ilícito de drogas
Hinamantaqmi runa ima ruwaykunanpi miyu hap’isqantapas kamachin	Asimismo, regula el uso de los tóxicos sociales
Suyuq ruwayninman hina qhali kaypaq	Política Nacional de Salud
9 Phatmi	Artículo 9
Suyu kamachin imaynapin llaqtantinpi runa qhali kausayninta	El Estado determina la política nacional de salud
Hatun Kamayoqmi kamachin hinaspa qhawan imayna ruwayninta	El Poder Ejecutivo norma y supervisa su aplicación
Qhawananmi hinaspa apanan tukuy llaqta runaman qhali ruway chayayman	Es responsable de diseñarla y conducirla en forma plural y descentralizadora para facilitar a todos el acceso equitativo a los servicios de salud
Runa aswan allin waqaychaypi kausaqanmanta	Derecho a la seguridad social
10 Phatmi	Artículo 10
